date,sessionSource,sessions_last_30_days,activeUsers_last_30_days,screenPageViews_last_30_days
2025-06-19,(not set),2,2,117
2025-06-19,chatgpt.com,2,1,6
2025-06-19,ecosia.org,2,2,6
2025-06-19,mail01.orange.fr,2,2,2
2025-06-20,(data not available),2,2,14
2025-06-20,duckduckgo,2,1,186
2025-06-20,ecosia.org,2,2,2
2025-06-20,m.facebook.com,2,0,2
2025-06-21,checkout.getalma.eu,2,1,8
2025-06-21,fr.search.yahoo.com,2,2,11
2025-06-21,ig,2,2,5
2025-06-21,mail02.orange.fr,2,1,1
2025-06-21,qwant.com,2,2,2
2025-06-22,ig,2,1,5
2025-06-23,fr.search.yahoo.com,2,1,2
2025-06-24,(data not available),2,2,3
2025-06-24,checkout.getalma.eu,2,2,1
2025-06-24,m.facebook.com,2,2,7
2025-06-25,fr.search.yahoo.com,2,2,5
2025-06-25,l.instagram.com,2,2,3
2025-06-25,qwant.com,2,2,8
2025-06-26,fr.search.yahoo.com,2,1,6
2025-06-26,ig,2,1,3
2025-06-27,(data not available),2,2,21
2025-06-27,bing,2,2,8
2025-06-28,(data not available),2,2,7
2025-06-28,ig,2,2,8
2025-06-28,qwant.com,2,2,3
2025-06-29,chatgpt.com,2,1,375
2025-06-29,fr.search.yahoo.com,2,1,2
2025-06-30,(data not available),2,2,3
2025-06-30,ecosia.org,2,2,28
2025-06-30,ig,2,2,2
2025-06-30,m.facebook.com,2,2,39
2025-07-01,(data not available),2,2,30
2025-07-01,fr.search.yahoo.com,2,2,80
2025-07-01,ig,2,2,8
2025-07-02,fr.search.yahoo.com,2,2,4
2025-07-02,ig,2,2,6
2025-07-02,qwant.com,2,2,4
2025-07-03,chatgpt.com,2,2,14
2025-07-03,ecosia.org,2,2,2
2025-07-03,m.facebook.com,2,2,7
2025-07-03,search.brave.com,2,1,7
2025-07-04,(not set),2,2,5
2025-07-04,hattila.com,2,2,2
2025-07-05,chatgpt.com,2,2,4
2025-07-05,ecosia.org,2,2,12
2025-07-05,hattila.com,2,2,2
2025-07-05,ig,2,2,10
2025-07-05,uk.search.yahoo.com,2,1,6
2025-07-06,duckduckgo,2,2,7
2025-07-06,mail02.orange.fr,2,1,37
2025-07-06,qwant.com,2,1,2
2025-07-07,hattila.com,2,1,43
